PartitionKey,RowKey,Timestamp
dk,Denmark,2020-11-01T07:44:15.578Z
fi,Finland,2020-11-01T08:13:39.302Z
no,Norway,2020-11-01T07:43:16.596Z
pt,Portugal,2020-11-01T07:43:59.945Z
se,Sweden,2020-11-01T07:43:25.539Z
